id, name, slogan, description, category, default_price
19,"Josiane Romper","Ex quis aut.","Aut iste earum quas ut quis dolorem laborum nobis quos. Iure nihil ullam corporis. Eligendi nemo quod et facilis. Consequuntur consectetur nihil ipsa sed aperiam. Voluptate natus aut. Molestiae sit debitis quia voluptatibus saepe doloremque aperiam.","Romper",767
20,"Simone Pants","Doloremque nisi provident nihil sit dicta quia.","Recusandae aut dolorum quaerat dolores error quo facilis aliquid. Autem dicta dolorem amet impedit. Dolores repellat autem vel sed nihil. Temporibus voluptatem officia pariatur et occaecati sed accusantium aperiam. Quas sequi voluptate omnis non voluptates quam nulla iste est.","Pants",99
21,"Darron Jacket","Sed enim dolore aspernatur est aperiam.","Voluptate cumque doloremque cumque exercitationem sequi et unde. Distinctio ipsam possimus ratione tempora aut sint tempora quia. Ea eveniet et deserunt debitis perferendis aperiam aperiam sunt laudantium.","Jacket",977
22,"Bailee Cap","Rerum nostrum excepturi expedita est qui neque nobis quas.","Excepturi repellat facilis aut et. Harum perspiciatis veritatis voluptas autem sed est. Neque eos dolores vel est rerum perspiciatis. Atque dicta error consequatur quibusdam non qui soluta quia. Laudantium consectetur fugiat quia architecto nulla sit consequuntur. Exercitationem alias quis voluptas molestiae.","Cap",677
23,"Cathryn Coat","Omnis alias quae et fugit quam.","In iste praesentium provident tenetur omnis quibusdam. Error ducimus ipsum dolorem laudantium commodi consequatur sequi. Similique id laboriosam perspiciatis et excepturi perspiciatis earum est minima. Doloremque reprehenderit aut nam nemo sit. Odit aliquam repudiandae eius. Molestiae alias quas ex similique.","Coat",480
24,"Coy Suit","Et eaque quos.","Iste magni vero qui qui illo expedita sunt voluptatem dicta. Qui ea et aut nihil rem aperiam. Non distinctio iste nostrum quasi et labore odio. Dolorum aspernatur labore voluptatum.","Suit",175
25,"Orrin Backpack","Et quas porro id sed eveniet nam.","Sunt quaerat consectetur dolorum. Fugiat numquam nemo porro sint rem aperiam nam. Inventore dolores voluptatem at aut. Mollitia aut illo est qui.","Backpack",109
26,"Audreanne Backpack","Pariatur amet quo quos deserunt veritatis unde et.","Ab placeat perferendis. Est sed quia maiores deleniti impedit earum doloribus. Non quibusdam rem voluptatem neque voluptatem quia velit totam ab. Officiis aspernatur odio. Quo autem unde debitis est laborum et minus deserunt.","Backpack",447
27,"Beulah Suit","Earum necessitatibus doloribus eum velit libero expedita aut nihil.","Quos omnis sed voluptatem consectetur architecto doloribus delectus. Autem explicabo inventore fuga beatae. Cumque voluptatem quo iste doloribus. Et sit assumenda sunt culpa optio voluptas ipsum et. Blanditiis atque sequi sequi unde rerum.","Suit",839
28,"Mafalda 1000 Shorts","Sunt voluptas sed ex repellendus laboriosam eligendi.","Consequuntur provident omnis autem consequatur aspernatur. A tempora ipsa aperiam. Molestias facilis aperiam aut ut.","Shorts",867
29,"Jennie Jacket","At excepturi sed ut dicta.","Dolor aut qui cupiditate dicta iure id voluptatem qui porro. Vel explicabo ducimus alias. Aut sed a velit nobis quos dolore ipsum veritatis.","Jacket",71
30,"Robbie Cap","Et cupiditate tempore fugiat natus placeat commodi voluptate velit.","Laborum minima et adipisci fuga eligendi est pariatur perferendis. Sit numquam id itaque sequi minus et aperiam sed ut. Accusantium minima aut corporis. Et temporibus nulla. Qui eos doloribus est quas quod.","Cap",168
31,"Quentin Slacks","Esse eos quo saepe quod.","Possimus et doloremque. Accusantium et qui adipisci omnis facere maxime. Impedit ea quae eius. Quas voluptatem alias est magni. Incidunt est molestiae sed est.","Slacks",543
32,"Juston Cap","Laudantium et eos vero dolorum optio.","Alias aut quia. Sunt non libero quia provident perferendis quam officiis similique sint. Quibusdam omnis reiciendis pariatur dolores. Qui iure quibusdam doloremque harum cumque dignissimos aut dolores.","Cap",283
33,"Christiana Tank Top","Fugit modi odio.","Sit unde sunt. Est qui est dolores eos. Ratione sunt sit modi. Autem eligendi tenetur ut fugit consequatur minima quis. Minima ad qui est reprehenderit omnis ratione laboriosam voluptate quaerat. Similique velit voluptas velit at quia est.","Tank Top",675
34,"Clare 1700 Jacket","Quidem assumenda dolores.","Ipsum animi numquam numquam pariatur ullam rerum illum ut ea. Occaecati quia nostrum temporibus maxime quisquam repellendus maiores dolorem. Id quidem optio. Possimus fugiat illo voluptas labore et exercitationem aliquam harum. Sapiente saepe voluptatum in atque animi tempora. Aspernatur ipsum nemo eum illum aspernatur nihil.","Jacket",523
35,"Valentina Slacks","Modi dicta dolorem alias.","Blanditiis et blanditiis. Soluta autem repudiandae. Eaque et deleniti animi mollitia. Eum fugiat ut. In possimus cupiditate dolor voluptate consequatur soluta pariatur. Consequuntur consequuntur est dolores nemo.","Slacks",761
36,"Kendra Trousers","Inventore laudantium rerum.","Enim ratione voluptatem laudantium et nostrum voluptatibus illum in at. Vitae ex rem sequi libero provident saepe deserunt blanditiis. Beatae perspiciatis corporis dolorem sit.","Trousers",45
37,"Alicia Slacks","Est accusantium consequatur quia et.","Quibusdam ut est exercitationem quibusdam hic aut impedit. Cumque aspernatur voluptas dolorem est et enim. Quod ipsa mollitia qui eius. Hic reprehenderit temporibus placeat animi. Unde temporibus eum.","Slacks",687
38,"Cornell Slacks","Voluptas labore debitis a natus earum quo ut odio corrupti.","Et dolorem voluptatum. A sit at. Numquam in animi. Amet fugit voluptatem molestiae iure dolores fugiat et quo qui.","Slacks",303
39,"Shemar Dress","Illum distinctio ad quis esse.","Minus ea deserunt consequuntur doloribus consequatur. Qui qui placeat distinctio. Dolorem repudiandae perferendis quidem ad maxime sit aut ut. Vel saepe provident praesentium. Et minus iste quisquam saepe omnis. Est sit sint et eaque.","Dress",328
40,"The Austen Backpack","Consequatur velit tempora eligendi ut.","Vitae repellendus odio amet aut incidunt omnis. Expedita omnis dolorem non omnis quibusdam maiores nulla aperiam. Sed perspiciatis accusamus. Ut aut maxime ipsum eligendi qui saepe mollitia. Dolores quia eos quo impedit consequatur minus id.","Backpack",311
41,"Mireille Romper","Itaque minus consequatur accusantium facere vitae est atque aut.","Nostrum hic recusandae similique vero totam quia fugiat. Illum ut sint nulla et. Expedita voluptatum iste hic. Quod voluptatem qui nihil. Ea voluptatem autem earum amet asperiores. Optio aut eveniet.","Romper",903
42,"Maximillian Shirt","Doloremque et sed.","Sit ducimus nisi aut molestiae earum quia delectus earum et. Amet odio vero et et et ducimus rerum. Facere sit est ipsum beatae cupiditate in cum consequatur sint. Totam pariatur excepturi. Dolorem beatae aut suscipit error.","Shirt",531
43,"Henry Romper","Sunt et excepturi et quam pariatur nulla rem.","Iusto assumenda molestias nihil labore qui ut voluptatem facere. Neque blanditiis atque vitae sed voluptates nesciunt quia delectus. Mollitia consectetur ut deleniti aperiam repudiandae dolor. Debitis velit autem laboriosam quos. Dolorem voluptate quia dicta tempore quisquam. Explicabo esse illum suscipit eius beatae voluptatem omnis blanditiis eos.","Romper",931
44,"Lucile Socks","Sit rerum ut labore vitae temporibus illum.","Itaque provident reprehenderit quod impedit accusantium consequatur ex. Nisi quidem velit ullam reprehenderit. Pariatur sequi et consequuntur earum unde in magni ducimus est. Ea consequuntur voluptatum sit. Enim aspernatur omnis enim quia a non.","Socks",157
45,"Columbus 600 Pants","Voluptas itaque nostrum libero sunt adipisci.","Vero repellendus minima sed. Provident maxime voluptatibus. Impedit commodi qui tenetur sint ea et quod. Repudiandae non ut. Nobis placeat rerum et. Est corporis non.","Pants",311
46,"Deonte Hat","Placeat in facere modi labore ut facilis ratione ut fuga.","Quo in laudantium et soluta et ullam. Facere qui et ipsum ad delectus. Earum blanditiis accusantium. Sapiente debitis dolorem aut culpa veritatis laudantium. Totam fugit voluptas illo et exercitationem aut quae. Laborum adipisci saepe voluptatem ipsa.","Hat",272
47,"Candice Backpack","Rerum tenetur sit quas perferendis.","Nulla vitae eum porro iste incidunt in impedit. Maiores numquam consequuntur sequi. Et illo porro. Eius dolor qui voluptatem sed aut et provident. Nulla ducimus assumenda repudiandae dolorum nam ea qui saepe.","Backpack",483
48,"Ford Hoodie","Reprehenderit et et in.","Perspiciatis est reprehenderit molestiae optio quia laudantium quia aliquid odio. Non explicabo sed voluptatibus ut aspernatur aut. Inventore labore voluptas ad illum est sint excepturi rerum neque.","Hoodie",331
49,"Deborah Sunglasses","Nesciunt quos perferendis aut velit praesentium modi.","Omnis sint sed est id voluptatem quod aut molestias minus. Possimus et similique ut provident nam atque. Cupiditate est quia nulla fugiat atque inventore temporibus id ad.","Sunglasses",773
50,"Jerrold 600 Shirt","Ipsa ad dolorem consequatur.","Commodi reprehenderit omnis natus porro. Amet dolore et quaerat harum iusto ut voluptate. Et eaque quibusdam quia animi dolorem porro et. Tempore sit est doloribus velit sit ullam labore adipisci fuga. Ea et quasi consequatur sint autem eius. Sint ut dolorem eaque.","Shirt",358
