id,product_id,feature,value
107,51,"Fabric","Cashmere"
108,51,"Stitching","Cross Stitch"
109,52,"Frame","AllLight Composition Resin"
110,52,"Buttons","White Resin"
111,53,"Lens","Ultrasheen Basic"
112,54,"Cut","Straight"
113,54,"Non-GMO",null
114,55,"Cut","Striaght"
115,55,"Cut","Loose"
116,55,"Material","Control Support Bridge"
117,55,"Fabric","Cashmere"
118,56,"Lens","100% UV Protective"
119,56,"Green Leaf Certified",null
120,57,"Lifetime Guarantee",null
121,58,"Satisfaction Guaranteed",null
122,58,"Material","Control Support Bridge"
123,58,"Non-GMO",null
124,58,"Non-GMO",null
125,59,"Satisfaction Guaranteed",null
126,60,"Fabric","Wool"
127,60,"Frame","DuraResin"
128,61,"Green Leaf Certified",null
129,61,"Green Leaf Certified",null
130,62,"Non-GMO",null
131,62,"Non-GMO",null
132,62,"Material","FullSupport Hybrid Compound"
133,63,"Cut","Skinny"
134,63,"Lens","Ultrasheen Basic"
135,64,"Fabric","95% Cotton, 5% Elastic"
136,65,"Satisfaction Guaranteed",null
137,65,"Lifetime Guarantee",null
138,65,"Lifetime Guarantee",null
139,65,"Stitching","Cross Stitch"
140,66,"Material","FullSupport Hybrid Compound"
141,66,"Non-GMO",null
142,67,"Non-GMO",null
143,67,"Cut","Striaght"
144,67,"Frame","AllLight Composition Resin"
145,67,"Green Leaf Certified",null
146,68,"Sustainably Sourced",null
147,68,"Stitching","Cross Stitch"
148,68,"Sustainably Sourced",null
149,69,"Buttons","Brass"
150,69,"5 Year Warranty",null
151,70,"Lens","Ultrasheen Silver"
152,71,"Satisfaction Guaranteed",null
153,72,"Sustainably Sourced",null
154,72,"Fair Trade Certified",null
155,72,"Non-GMO",null
156,73,"Non-GMO",null
157,73,"Buttons","Brass"
158,74,"Lens","Ultrasheen Silver"
159,74,"Non-GMO",null
160,74,"Green Leaf Certified",null
161,75,"Frame","AllLight Composition Resin"
162,76,"Non-GMO",null
163,76,"Non-GMO",null
164,76,"Lens","Ultrasheen Silver"
165,76,"Sustainably Sourced",null
166,77,"Buttons","Ivory"
167,78,"Cut","Straight"
168,78,"Non-GMO",null
169,78,"Buttons","Blue Resin"
170,79,"Sustainably Sourced",null
171,79,"Satisfaction Guaranteed",null
172,80,"Cut","Straight"
173,80,"Green Leaf Certified",null
174,80,"Frame","DuraResin"
175,81,"Lens","100% UV Protective"
176,82,"Lens","100% UV Protective"
177,82,"Buttons","Black Resin"
178,83,"Lifetime Guarantee",null
179,83,"Cut","Straight"
180,83,"Non-GMO",null
181,84,"Material","Armor Weave"
182,84,"5 Year Warranty",null
183,84,"Cut","Loose"
